# Edited version of McConnachie (2012, AJ, 144, 4).
name,RA,Dec,EB-V,distmod,distmod_err_plus,distmod_err_minus,MHI,logLV
GR 8,12 58 40.4,14 13  3,0.026,26.69,0.12,0.12,11000000.0,6.808000000000002
UGC 9128,14 15 56.5,23  3 19,0.023,26.8,0.04,0.04,18000000.0,6.892
UGC 8508,13 30 44.4,54 54 36,0.015,27.06,0.03,0.03,29000000.0,7.275999999999999
IC 3104,12 18 46.0,-79 43 34,0.41,26.78,0.18,0.18,13000000.0,7.524000000000001
DDO 125,12 27 40.9,43 29 44,0.02,27.06,0.05,0.05,35000000.0,7.675999999999999
UGCA 86,3 59 48.3,67  8 19,0.938,27.36,0.17,0.17,860000000.0,7.196000000000001
DDO 99,11 50 53.0,38 52 49,0.026,27.07,0.14,0.14,52000000.0,7.2
IC 4662,17 47  8.8,-64 38 30,0.07,26.94,0.17,0.17,180000000.0,8.268
DDO 190,14 24 43.4,44 31 33,0.012,27.23,0.03,0.03,43000000.0,7.703999999999999
KKH 86,13 54 33.5,4 14 35,0.027,27.06,0.16,0.16,880000.0,5.915999999999999
NGC 4163,12 12  9.1,36 10  9,0.02,27.28,0.03,0.03,7900000.0,7.564000000000002
DDO 113,12 14 57.9,36 13  8,0.02,27.35,0.06,0.06,48000000.0,6.312000000000001
